PROGRAMA	NOMBRE	FECHA	TORNEO	HORA	COD	MINIMO	LOCAL	L	E	V	VISITA	LoE	LoV	EoV	1TL	1TE	1TV	2TL	2TE	2TV	L/L	E/L	V/L	L/E	E/E	V/E	L/V	E/V	V/V	-1.5	+1.5	-2.5	+2.5	-3.5	+3.5	0-1	2-3	4+	A	NA	I	P	FLAG	
2169	JUEVES 20 DE MAYO - PROGRAMA 2169	20/05/2021	MEXP	19:00	1823	1	SANTOS LAGUNA	1.55	3.40	5.50	PUEBLA	1.06	1.21	2.10	2.08	2.00	5.75	1.88	2.35	5.40	2.40	4.00	23.00	16.00	4.75	18.00	40.00	11.50	10.00	3.10	1.20	1.65	1.85	1.18	3.30	3.10	1.75	3.30	1.85	1.65			mx.png	
2169	JUEVES 20 DE MAYO - PROGRAMA 2169	20/05/2021	CSA	19:30	1636	1	ARAGUA	8.75	4.60	1.22	GREMIO	3.01	1.07	-	7.75	2.30	1.62	7.50	2.75	1.48	16.00	19.00	50.00	21.00	6.75	19.00	20.00	3.75	1.72	4.00	1.08	1.95	1.55	1.28	2.50	4.00	1.80	2.50	1.92	1.58			csa.png	
2169	JUEVES 20 DE MAYO - PROGRAMA 2169	20/05/2021	CSA	19:30	1637	1	CORINTHIANS	1.19	6.25	12.50	SPORT HUANCAYO	-	1.09	4.17	1.48	2.50	9.75	1.35	3.05	9.50	1.55	3.75	18.00	20.00	8.75	23.00	60.00	25.00	20.00	3.75	1.10	1.95	1.65	1.25	2.60	3.75	1.80	2.60	2.35	1.38			csa.png	
2169	JUEVES 20 DE MAYO - PROGRAMA 2169	20/05/2021	CSA	19:30	1638	1	GUABIRA	5.40	3.50	1.45	TORQUE	2.12	1.14	1.03	5.50	2.05	1.95	5.25	2.40	1.75	9.75	12.00	40.00	17.00	5.25	16.00	22.00	4.00	2.20	3.75	1.10	1.85	1.65	1.25	2.60	3.75	1.80	2.60	1.70	1.80			csa.png	
2169	JUEVES 20 DE MAYO - PROGRAMA 2169	20/05/2021	CSA	19:30	1639	1	LANUS	1.50	3.50	4.90	LA EQUIDAD	1.05	1.15	2.04	2.05	2.00	5.25	1.85	2.30	4.90	2.30	4.00	22.00	15.00	5.00	16.00	40.00	11.00	8.50	2.75	1.22	1.55	1.95	1.10	3.75	2.75	1.75	3.75	1.95	1.55			csa.png	
2169	JUEVES 20 DE MAYO - PROGRAMA 2169	20/05/2021	AUS	04:05	1643	3	NEWCASTLE JETS	2.80	3.20	2.18	BRISBANE ROAR	1.49	1.23	1.30	3.30	2.05	2.75	3.05	2.35	2.55	4.60	6.75	28.00	14.00	4.90	14.00	25.00	5.50	3.60	3.50	1.15	1.85	1.65	1.28	2.70	3.50	1.85	2.70	1.52	2.00			au.png	
2169	JUEVES 20 DE MAYO - PROGRAMA 2169	20/05/2021	COR	05:30	1652	3	SUWON CITY	1.78	3.15	3.70	INCHEON UTD	1.14	1.20	1.70	2.35	1.90	4.25	2.15	2.20	3.90	2.90	4.50	22.00	14.00	4.60	15.00	32.00	8.25	6.25	2.85	1.20	1.62	1.88	1.12	3.50	2.85	1.78	3.50	1.80	1.70			kr.png	
2170	VIERNES 21 DE MAYO - PROGRAMA 2170	21/05/2021	ESP	14:00	211	1	LEVANTE	1.80	3.60	3.60	CADIZ	1.20	1.20	1.80	2.45	2.18	3.80	2.25	2.50	3.50	3.00	5.00	23.00	14.00	5.50	14.00	28.00	7.75	5.50	3.90	1.12	1.95	1.55	1.28	2.70	3.90	1.80	2.70	1.55	1.95			es.png	
2170	VIERNES 21 DE MAYO - PROGRAMA 2170	21/05/2021	SCC	08:00	1307	1	ST JOHNSTONE	2.85	2.85	2.35	HIBERNIAN	1.43	1.29	1.29	3.40	1.85	2.90	3.10	2.10	2.60	4.60	6.50	28.00	14.00	4.25	14.00	25.00	5.25	3.75	2.85	1.25	1.45	2.15	1.08	4.50	2.60	1.78	4.00	1.82	1.68			scotland.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	241	1	EINTRACHT FRANKFURT	2.00	3.75	2.90	FRIBURGO	1.30	1.18	1.64	2.45	2.35	3.40	2.25	2.70	3.20	3.00	5.25	21.00	14.00	6.00	14.00	28.00	7.75	4.90	5.25	1.04	2.50	1.32	1.55	1.95	5.25	2.10	1.95	1.32	2.50			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	242	1	WOLFSBURGO	1.60	3.90	4.30	MAINZ	1.13	1.17	2.05	2.25	2.15	4.60	2.02	2.45	4.25	2.65	4.50	22.00	14.00	5.25	15.00	40.00	9.50	7.25	3.90	1.12	2.15	1.45	1.30	2.60	3.90	1.85	2.60	1.58	1.92			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	243	1	STUTTGART	2.45	3.50	2.45	ARMINIA BIELEFELD	1.44	1.23	1.44	2.80	2.25	3.05	2.55	2.60	2.85	3.60	6.00	23.00	13.00	5.50	14.00	25.00	6.50	4.10	5.00	1.05	2.15	1.45	1.50	2.05	5.00	2.05	2.05	1.35	2.45			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	244	1	BAYERN	1.13	7.25	11.00	AUGSBURG	-	1.02	4.37	1.50	3.00	7.50	1.38	3.60	7.50	1.55	4.25	17.00	20.00	10.50	22.00	50.00	23.00	16.00	6.25	1.01	3.50	1.15	1.95	1.55	6.25	2.65	1.55	1.45	2.15			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	245	1	UNION BERLIN	2.85	3.50	2.10	RB LEIPZIG	1.57	1.21	1.31	4.00	2.35	2.18	3.80	2.70	2.00	6.00	9.25	32.00	15.00	6.25	14.00	19.00	4.90	2.55	5.00	1.05	2.25	1.42	1.52	2.00	5.00	2.10	2.00	1.38	2.35			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	246	1	DORTMUND	1.63	3.90	4.20	LEVERKUSEN	1.15	1.17	2.02	2.10	2.35	4.40	1.92	2.75	4.10	2.40	4.60	19.00	14.00	6.25	15.00	35.00	10.00	7.00	5.25	1.04	2.60	1.30	1.55	1.95	5.25	2.10	1.95	1.38	2.35			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	247	1	COLONIA	1.32	5.00	6.50	SCHALKE 04	1.04	1.10	2.83	1.75	2.65	5.40	1.62	3.10	5.25	1.95	4.40	16.00	15.00	8.50	17.00	38.00	14.00	9.50	6.25	1.01	2.70	1.28	1.65	1.85	6.25	2.10	1.85	1.42	2.25			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	248	1	HOFFENHEIM	1.98	3.60	3.05	HERTHA	1.28	1.20	1.65	2.45	2.35	3.40	2.30	2.65	3.15	3.05	5.50	21.00	14.00	6.00	14.00	28.00	7.50	4.90	5.25	1.04	2.45	1.35	1.55	1.95	5.25	2.10	1.95	1.32	2.50			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ALE	08:30	249	1	WERDER BREMEN	2.40	3.60	2.45	MONCHENGLADBACH	1.44	1.21	1.46	2.75	2.30	3.00	2.55	2.65	2.80	3.50	6.00	22.00	13.00	6.00	13.00	25.00	6.50	4.00	5.00	1.05	2.30	1.40	1.48	2.10	5.00	2.00	2.10	1.35	2.45			de.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ESP	11:00	214	1	VALLADOLID	6.50	4.30	1.38	ATLETICO MADRID	2.59	1.14	1.04	7.00	2.40	1.75	6.50	2.85	1.58	12.50	17.00	50.00	20.00	7.25	18.00	21.00	4.00	1.85	3.90	1.12	1.90	1.60	1.30	2.60	3.90	1.85	2.60	1.88	1.62			es.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ESP	11:00	215	1	REAL MADRID	1.35	4.70	6.50	VILLARREAL	1.05	1.12	2.73	1.75	2.50	6.25	1.60	2.95	5.90	1.90	4.10	18.00	16.00	7.50	18.00	45.00	15.00	11.00	4.75	1.06	2.25	1.42	1.45	2.15	4.75	2.00	2.15	1.62	1.88			es.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ESP	11:00	216	1	OSASUNA	3.90	3.50	1.75	REAL SOCIEDAD	1.84	1.21	1.17	4.20	2.25	2.25	3.90	2.60	2.05	6.50	9.00	32.00	15.00	5.50	14.00	22.00	4.75	2.65	4.75	1.06	2.25	1.42	1.45	2.15	4.75	2.00	2.15	1.40	2.30			es.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ESP	11:00	217	1	HUESCA	1.55	3.80	4.90	VALENCIA	1.10	1.18	2.14	2.35	2.12	4.30	2.12	2.45	4.00	2.75	4.60	23.00	14.00	5.25	15.00	32.00	8.75	6.50	3.30	1.18	1.80	1.70	1.22	3.00	3.30	1.85	3.00	1.65	1.85			es.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ESP	11:00	219	1	CELTA	3.00	3.50	2.02	BETIS	1.62	1.21	1.28	3.25	2.20	2.70	3.00	2.50	2.50	4.40	6.75	28.00	14.00	5.50	14.00	25.00	5.50	3.40	4.00	1.10	1.92	1.58	1.32	2.50	4.00	1.90	2.50	1.48	2.10			es.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ESP	11:00	220	1	ELCHE	1.68	3.60	4.20	ATHLETIC BILBAO	1.15	1.20	1.94	2.25	2.15	4.60	2.02	2.50	4.30	2.55	4.50	23.00	15.00	5.50	15.00	40.00	9.50	7.00	3.50	1.15	1.82	1.68	1.25	2.85	3.50	1.85	2.85	1.65	1.85			es.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	ROC	12:00	1660	1	ASTRA GIURGIU	3.50	3.05	1.88	CSU CRAIOVA	1.63	1.22	1.16	4.25	1.85	2.50	3.90	2.10	2.25	6.25	7.75	28.00	15.00	4.10	15.00	25.00	4.60	3.10	2.75	1.22	1.55	1.95	1.10	3.75	2.75	1.75	3.75	1.82	1.68			ro.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	12:00	1671	1	MONTREAL	1.63	3.60	4.10	CINCINNATI	1.12	1.17	1.92	2.20	2.15	4.30	2.02	2.45	4.00	2.65	4.60	21.00	14.00	5.50	15.00	38.00	9.25	6.75	3.90	1.12	1.92	1.58	1.32	2.50	3.90	1.85	2.50	1.55	1.95			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	GRC	13:00	1661	1	OLYMPIACOS	2.15	3.05	2.95	PAOK	1.26	1.24	1.50	2.80	1.92	3.60	2.55	2.20	3.30	3.60	5.25	25.00	14.00	4.50	15.00	28.00	6.75	5.00	2.85	1.25	1.55	1.95	1.15	3.50	2.85	1.78	3.50	1.72	1.78			europeanunion.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	14:30	1672	1	PORTLAND	1.70	3.40	4.00	LOS ANGELES	1.13	1.19	1.84	2.25	2.18	4.10	2.05	2.50	3.90	2.80	4.60	21.00	14.00	5.00	14.00	32.00	9.00	7.00	5.00	1.05	2.30	1.40	1.50	2.05	5.00	1.95	2.05	1.35	2.45			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	17:00	1673	1	CHICAGO	2.30	3.30	2.55	INTER MIAMI CF	1.36	1.21	1.44	2.90	2.15	3.00	2.65	2.45	2.75	3.75	6.00	25.00	14.00	5.25	14.00	28.00	6.25	4.00	4.00	1.10	2.00	1.52	1.32	2.50	4.00	1.80	2.50	1.45	2.15			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	18:00	1674	1	ORLANDO CITY	1.68	3.60	3.80	TORONTO	1.15	1.16	1.85	2.18	2.25	4.10	1.98	2.55	3.90	2.60	4.75	20.00	14.00	6.00	15.00	35.00	9.25	6.25	4.00	1.10	2.05	1.50	1.35	2.45	4.00	1.85	2.45	1.50	2.05			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	18:30	1675	1	NEW YORK CITY	1.55	3.60	4.80	COLUMBUS	1.08	1.17	2.06	2.05	2.18	4.90	1.85	2.55	4.60	2.35	4.25	22.00	15.00	5.50	16.00	40.00	11.00	8.25	4.00	1.10	1.88	1.62	1.32	2.50	4.00	1.80	2.50	1.58	1.92			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	19:00	1676	1	NEW ENGLAND	1.72	3.45	3.90	NEW YORK	1.15	1.19	1.83	2.35	2.10	4.10	2.12	2.40	3.80	2.80	4.75	23.00	14.00	5.25	15.00	32.00	8.50	6.25	3.90	1.12	1.90	1.60	1.28	2.70	3.90	1.75	2.70	1.55	1.95			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	19:00	1677	1	DALLAS	1.82	3.45	3.45	SALT LAKE	1.19	1.19	1.73	2.35	2.15	3.90	2.15	2.45	3.60	2.85	4.90	22.00	14.00	5.50	15.00	32.00	8.25	5.75	3.90	1.12	1.92	1.58	1.30	2.60	3.90	1.78	2.60	1.52	2.00			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	20:00	1678	1	HOUSTON	1.47	4.00	4.90	VANCOUVER	1.07	1.13	2.20	1.92	2.30	5.10	1.75	2.70	4.90	2.15	4.25	19.00	15.00	6.50	16.00	40.00	12.00	8.75	4.50	1.08	2.10	1.48	1.40	2.30	4.50	1.85	2.30	1.55	1.95			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	21:00	1679	1	SAN JOSE	2.30	3.35	2.50	KANSAS	1.36	1.20	1.43	2.80	2.18	3.00	2.60	2.50	2.75	3.75	6.00	25.00	14.00	5.50	14.00	28.00	6.25	4.10	4.50	1.08	2.10	1.48	1.40	2.30	4.50	1.85	2.30	1.40	2.30			us.png	
2171	SABADO 22 DE MAYO - PROGRAMA 2171	22/05/2021	USA	21:30	1680	1	LOS ANGELES FC	1.60	3.60	4.40	COLORADO	1.11	1.17	1.98	2.15	2.25	4.25	1.95	2.55	4.00	2.60	4.60	20.00	14.00	5.25	15.00	38.00	9.50	7.25	5.50	1.03	2.45	1.35	1.58	1.92	5.50	2.00	1.90	1.32	2.50			us.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ESP	11:00	218	1	EIBAR	5.50	4.50	1.40	BARCELONA	2.48	1.12	1.07	5.00	2.75	1.78	4.90	3.20	1.63	9.25	14.00	38.00	16.00	7.75	15.00	16.00	4.60	2.00	6.25	1.01	3.50	1.15	2.10	1.48	6.25	2.90	1.48	1.25	2.85			es.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	221	1	SPEZIA	4.30	4.20	1.57	ROMA	2.12	1.15	1.14	4.50	2.40	2.02	4.25	2.80	1.88	7.00	10.50	38.00	16.00	7.00	15.00	19.00	4.60	2.25	4.50	1.08	2.15	1.45	1.40	2.30	4.50	1.90	2.30	1.52	2.00			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	222	1	SAMPDORIA	2.08	3.35	3.00	PARMA	1.28	1.23	1.58	2.60	2.20	3.45	2.40	2.50	3.20	3.25	5.25	23.00	14.00	5.25	14.00	28.00	7.25	5.00	4.50	1.08	2.15	1.45	1.42	2.25	4.50	1.95	2.25	1.38	2.35			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	223	1	SASSUOLO	2.50	3.30	2.45	LAZIO	1.42	1.24	1.41	2.90	2.25	2.90	2.70	2.55	2.70	4.00	6.25	25.00	13.00	5.25	13.00	25.00	6.25	4.00	5.50	1.03	2.45	1.35	1.58	1.92	5.50	2.10	1.90	1.28	2.70			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	224	1	CROTONE	3.40	3.50	1.88	FIORENTINA	1.72	1.21	1.22	3.75	2.25	2.35	3.50	2.60	2.18	5.50	8.25	32.00	14.00	5.50	14.00	21.00	5.00	2.85	5.00	1.05	2.30	1.40	1.48	2.10	5.00	2.00	2.10	1.35	2.45			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	225	1	BOLOGNA	5.75	4.70	1.38	JUVENTUS	2.59	1.11	1.07	5.50	2.55	1.80	5.25	3.00	1.65	9.25	14.00	40.00	16.00	8.00	15.00	17.00	4.40	1.95	4.75	1.06	2.30	1.40	1.45	2.15	4.75	2.00	2.15	1.55	1.95			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	226	1	CAGLIARI	2.00	3.10	3.45	GENOVA	1.22	1.27	1.63	2.50	2.10	3.90	2.30	2.40	3.60	3.20	4.90	23.00	14.00	4.60	14.00	28.00	7.75	6.00	4.50	1.08	2.05	1.50	1.40	2.30	4.50	1.90	2.30	1.40	2.30			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	227	1	NAPOLI	1.33	4.90	6.50	VERONA	1.05	1.10	2.79	1.75	2.55	6.00	1.60	3.05	5.75	1.85	4.25	18.00	16.00	8.25	18.00	45.00	16.00	11.00	4.75	1.06	2.30	1.40	1.45	2.15	4.75	2.00	2.15	1.62	1.88			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	228	1	ATALANTA	2.30	3.30	2.95	MILAN	1.36	1.29	1.56	2.75	2.15	3.35	2.50	2.45	3.10	3.60	5.50	23.00	13.00	4.90	13.00	28.00	6.75	4.75	4.50	1.08	2.15	1.55	1.42	2.25	4.50	1.95	2.25	1.38	2.35			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	229	1	INTER	1.48	4.20	4.90	UDINESE	1.09	1.14	2.26	1.92	2.45	4.90	1.78	2.85	4.70	2.15	4.40	18.00	15.00	7.00	16.00	38.00	12.00	8.25	4.75	1.06	2.30	1.40	1.48	2.10	4.75	2.05	2.10	1.48	2.10			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ITA	11:00	252	1	TORINO	1.68	3.75	4.00	BENEVENTO	1.16	1.18	1.94	2.18	2.30	4.30	1.98	2.65	4.00	2.50	4.60	20.00	14.00	6.00	15.00	38.00	9.50	6.75	4.50	1.08	2.15	1.45	1.42	2.25	4.50	1.95	2.25	1.45	2.15			it.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ESP	11:30	212	1	GRANADA	2.45	3.20	2.60	GETAFE	1.39	1.26	1.43	3.05	2.02	3.25	2.80	2.30	2.95	3.90	5.75	25.00	14.00	4.75	14.00	28.00	6.25	4.25	3.00	1.22	1.62	1.88	1.18	3.30	3.00	1.85	3.30	1.68	1.82			es.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	231	1	ST. ETIENNE	1.35	4.30	6.25	DIJON	1.03	1.11	2.55	1.85	2.25	5.90	1.68	2.65	5.50	2.10	4.10	19.00	15.00	6.50	17.00	40.00	14.00	10.00	3.90	1.12	1.95	1.55	1.28	2.70	3.90	1.75	2.70	1.78	1.72			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	232	1	RENNES	1.35	4.30	6.50	NIMES	1.03	1.12	2.59	1.90	2.18	6.25	1.72	2.55	5.75	2.15	4.00	21.00	16.00	6.00	17.00	40.00	14.00	10.50	3.30	1.18	1.90	1.60	1.22	3.00	3.30	1.78	3.00	1.88	1.62			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	234	1	REIMS	2.25	2.95	2.90	BORDEAUX	1.28	1.27	1.46	2.80	1.88	3.75	2.55	2.15	3.45	3.60	5.25	25.00	15.00	4.40	15.00	28.00	7.00	5.25	2.70	1.28	1.50	2.05	1.10	4.00	2.70	1.72	4.00	1.85	1.65			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	235	1	METZ	3.15	3.35	1.95	MARSELLA	1.62	1.20	1.23	3.60	2.10	2.55	3.30	2.40	2.35	5.00	7.25	28.00	14.00	5.25	14.00	25.00	5.25	3.20	3.50	1.15	1.88	1.62	1.28	2.70	3.50	1.85	2.70	1.55	1.95			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	236	1	LYON	1.17	5.90	9.50	NIZA	-	1.04	3.64	1.50	2.80	7.75	1.38	3.35	7.75	1.58	4.10	18.00	20.00	9.75	22.00	50.00	23.00	16.00	5.75	1.02	2.60	1.30	1.62	1.88	5.75	2.00	1.90	1.70	1.80			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	237	1	LENS	4.25	3.70	1.60	MONACO	1.98	1.16	1.12	4.40	2.20	2.12	4.20	2.55	1.95	7.00	9.75	40.00	15.00	5.75	15.00	22.00	4.50	2.50	3.90	1.12	1.92	1.58	1.32	2.50	3.90	1.85	2.50	1.58	1.92			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	238	1	ANGERS	7.00	4.10	1.35	LILLE	2.59	1.13	1.02	6.75	2.20	1.82	6.25	2.60	1.65	12.00	15.00	40.00	18.00	6.25	17.00	21.00	3.90	2.05	3.50	1.15	1.80	1.70	1.22	3.00	3.50	1.72	3.00	1.92	1.58			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	239	1	BREST	9.00	5.75	1.18	PARIS ST. GERMAIN	3.51	1.04	-	6.75	2.50	1.65	6.50	3.00	1.50	13.00	18.00	50.00	20.00	7.75	18.00	20.00	4.00	1.78	4.75	1.06	2.60	1.30	1.48	2.10	4.75	1.95	2.10	1.68	1.82			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	240	1	ESTRASBURGO	2.10	2.30	4.50	LORIENT	1.10	1.43	1.52	2.70	1.80	4.50	2.40	2.05	4.10	3.60	4.60	25.00	14.00	3.45	15.00	28.00	8.00	7.75	3.10	1.20	1.55	1.95	1.20	3.10	3.10	1.80	3.10	1.60	1.90			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	FRA	14:00	250	1	NANTES	1.53	3.80	4.50	MONTPELLIER	1.09	1.14	2.06	2.15	2.20	4.40	1.95	2.55	4.10	2.50	4.50	21.00	14.00	6.00	15.00	38.00	9.75	6.75	3.90	1.12	1.92	1.58	1.30	2.60	3.90	1.78	2.60	1.58	1.92			fr.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	ESP	14:00	213	1	SEVILLA	1.47	4.10	5.40	ALAVES	1.08	1.16	2.33	1.90	2.35	5.75	1.72	2.75	5.40	2.10	4.10	19.00	15.00	6.50	16.00	40.00	13.00	9.75	4.00	1.10	1.95	1.55	1.35	2.45	4.00	1.90	2.45	1.65	1.85			es.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	POC	14:30	1308	1	BRAGA	3.90	2.80	2.15	BENFICA	1.63	1.39	1.22	4.20	1.90	2.60	3.80	2.18	2.35	7.00	7.75	28.00	14.00	3.75	13.00	25.00	4.75	3.60	4.00	1.10	1.95	1.65	1.35	2.45	4.00	1.85	2.45	1.42	2.25			europeanunion.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	USA	15:30	1681	1	SEATTLE	1.60	3.35	4.80	ATLANTA UTD	1.08	1.20	1.97	2.20	2.02	4.90	1.98	2.35	4.60	2.65	4.25	23.00	15.00	4.50	16.00	40.00	9.75	8.50	3.90	1.12	1.90	1.60	1.32	2.50	3.90	1.85	2.50	1.55	1.95			us.png	
2172	DOMINGO 23 DE MAYO - PROGRAMA 2172	23/05/2021	USA	18:00	1682	1	DC UNITED	2.70	3.05	2.30	PHILADELPHIA	1.43	1.24	1.31	3.25	2.05	2.80	3.00	2.35	2.60	4.50	6.50	28.00	14.00	4.75	14.00	25.00	5.75	3.75	3.90	1.12	1.80	1.70	1.30	2.60	3.90	1.78	2.60	1.48	2.10			us.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	ARG	20:00	395	1	COLON SANTA FE	2.65	2.70	2.55	INDEPENDIENTE	1.34	1.30	1.31	3.40	1.80	3.30	3.05	2.05	2.95	4.75	6.00	25.00	15.00	3.75	15.00	25.00	5.75	4.50	2.60	1.30	1.45	2.15	1.10	4.00	2.60	1.78	4.00	1.80	1.70			ar.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	ARG	20:00	396	1	RACING CLUB	3.10	3.00	2.10	BOCA JUNIORS	1.52	1.25	1.24	3.70	1.98	2.70	3.35	2.25	2.45	5.50	7.00	28.00	15.00	4.40	15.00	25.00	5.25	3.45	3.50	1.15	1.75	1.75	1.22	3.00	3.50	1.72	3.00	1.58	1.92			ar.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	386	1	U. CESAR VALLEJO	2.80	3.20	2.10	SPORTING CRISTAL	1.49	1.20	1.27	3.45	2.12	2.75	3.05	2.30	2.40	4.90	7.25	30.00	15.00	5.25	15.00	25.00	5.75	3.60	3.75	1.18	1.85	1.65	1.32	2.80	3.75	1.80	2.80	1.52	2.00			pe.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	387	1	CUSCO FC	1.80	3.20	3.50	BINACIONAL	1.15	1.19	1.67	2.45	2.12	4.20	2.10	2.30	3.60	3.05	4.90	23.00	15.00	5.25	15.00	35.00	8.50	6.50	3.60	1.20	1.80	1.70	1.30	2.90	3.60	1.80	2.90	1.58	1.92			pe.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	388	1	DEPOR. CANTOLAO	3.40	3.20	1.85	AYACUCHO FC	1.65	1.20	1.17	4.10	2.10	2.50	3.60	2.25	2.15	6.00	8.25	35.00	15.00	5.00	15.00	23.00	5.00	3.15	3.40	1.22	1.75	1.75	1.28	3.00	3.40	1.80	3.00	1.62	1.88			pe.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	389	1	MELGAR	3.30	3.10	1.90	CIENCIANO	1.60	1.21	1.18	4.00	2.08	2.60	3.50	2.25	2.20	6.00	8.00	30.00	15.00	4.90	15.00	25.00	5.00	3.25	3.60	1.20	1.75	1.75	1.28	3.00	3.60	1.75	3.00	1.60	1.90			pe.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	390	1	SPORT HUANCAYO	2.40	2.90	2.60	SPORT BOYS	1.31	1.25	1.37	3.15	1.98	3.35	2.70	2.15	2.90	4.25	6.00	28.00	15.00	4.50	15.00	28.00	6.50	4.75	3.20	1.25	1.65	1.85	1.22	3.40	3.20	1.75	3.40	1.62	1.88			pe.png	
2173	LUNES 24 DE MAYO - PROGRAMA 2173	24/05/2021	PER	20:00	391	1	U. SAN MARTIN	2.20	2.90	2.80	DEPOR MUNICIPAL	1.25	1.23	1.42	2.95	2.00	3.60	2.55	2.15	3.10	3.90	5.50	25.00	14.00	4.60	15.00	30.00	7.00	5.25	3.40	1.22	1.70	1.80	1.25	3.20	3.40	1.75	3.20	1.58	1.92			pe.png	
